iso3,year,regulatory_quality_score
ISR,2021,73.3996144
ISR,2020,73.032022
ISR,2019,74.4454315
ISR,2018,73.2135495
ISR,2017,74.0285377
ISR,2016,74.4365979
ISR,2015,72.2093705
ISR,2014,71.2524995
ISR,2013,71.9683501
ITA,2023,65.8357262
ITA,2022,64.3443586
ITA,2021,63.9087126
ITA,2020,62.3028255
ITA,2019,65.9203005
ITA,2018,63.6990094
ITA,2017,64.8883338
ITA,2016,64.8578067
ITA,2015,64.1201032
ITA,2014,60.8298032
ITA,2013,62.5605715
JAM,2023,57.2057484
JAM,2022,57.55474
JAM,2021,57.7302175
JAM,2020,56.416455
JAM,2019,57.0000228
JAM,2018,57.1862171
JAM,2017,56.8258306
JAM,2016,57.1420697
JAM,2015,56.8719005
JAM,2014,55.7324643
JAM,2013,55.5214632
JPN,2023,76.9093801
JPN,2022,77.1114908
JPN,2021,76.8730443
JPN,2020,76.425199
JPN,2019,76.7638524
JPN,2018,76.3835577
JPN,2017,76.9203885
JPN,2016,78.9740104
JPN,2015,77.1186037
JPN,2014,75.3576946
JPN,2013,76.3028916
JOR,2023,59.8167875
JOR,2022,58.2017136
JOR,2021,57.8870075
JOR,2020,57.9074299
JOR,2019,57.3816928
JOR,2018,56.2049697
JOR,2017,56.9697969
JOR,2016,56.7208624
JOR,2015,57.5169737
JOR,2014,56.5123405
JOR,2013,56.4334598
KAZ,2023,54.9494054
KAZ,2022,53.8525157
KAZ,2021,55.0715534
KAZ,2020,55.7125355
KAZ,2019,56.6406253
KAZ,2018,55.7345603
KAZ,2017,56.1767073
KAZ,2016,52.7280623
KAZ,2015,53.7365784
KAZ,2014,52.5249358
KAZ,2013,49.5435144
KEN,2023,48.5754393
KEN,2022,48.6976063
KEN,2021,48.1628795
KEN,2020,47.605713
KEN,2019,49.4435078
KEN,2018,50.1415335
KEN,2017,51.7319567
KEN,2016,51.2815533
KEN,2015,50.2964925
KEN,2014,49.7209476
KEN,2013,46.8802939
KIR,2023,45.4038713
KIR,2022,46.444886
KIR,2021,46.1870422
KIR,2020,46.1996341
KIR,2019,46.8991928
KIR,2018,44.1811604
KIR,2017,44.1752493
KIR,2016,44.1608704
KIR,2015,44.401331
KIR,2014,44.3432133
KIR,2013,36.244961
PRK,2023,25.2994453
PRK,2022,24.1521296
PRK,2021,24.1717587
PRK,2020,24.179124
PRK,2019,22.9077551
PRK,2018,22.8970005
PRK,2017,21.6837477
PRK,2016,21.6741003
PRK,2015,21.6649829
PRK,2014,22.3494121
PRK,2013,16.5889969
KOR,2023,70.6287777
KOR,2022,70.9067427
KOR,2021,70.4449476
KOR,2020,69.1882871
KOR,2019,69.246572
